基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
野村優質基金,前收累積,新臺幣,10370001,CA01,7001,5801,10110001,2413,10040001,V,V,CJ1,5501,IN01,2001,55500030,2101,1402,310,8802,V,7701,6001,D602,6301,IN01,69001,6900006,7901,5002,7801,6501,3401,IG02,52BA,3601,5801,3302,1502,●,8101
野村優質基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村成長基金,前收累積,新臺幣,10370002,CA02,7002,5802,10110002,2424,10040002,V,●,CJ2,5502,IN03,2031,●,2102,1403,●,8820,V,7702,6002,D604,●,IN02,69002,●,7902,5003,7802,6502,3402,IG03,52BB,3603,5802,3303,1503,●,8102
野村平衡基金,前收累積,新臺幣,10370003,CA03,7003,5804,●,2425,●,V,●,CJ3,5505,IN09,●,●,2104,1404,●,8839,V,7703,6003,D605,●,IN21,69003,●,7904,5001,7803,6519,3403,IG04,52BD,3604,5805,3304,1508,●,8121
野村平衡基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村ｅ科技基金,前收累積,新臺幣,10370004,CA04,7004,5803,10110004,2407,10040004,V,V,CJ4,5503,IN07,2002,●,2103,1405,311,8848,V,7704,6004,D606,●,IN03,69004,●,7903,5004,7804,6503,3404,IG05,52DI,3605,5803,3305,1504,●,8103
野村中小基金,前收累積,新臺幣,10370006,CA06,7005,5806,10110006,2411,10040006,V,V,CJ5,5504,IN05,2003,55500020,2107,1406,312,8866,V,7705,6006,D607,6305,IN51,69005,6900003,7906,5006,7805,6504,3405,IG07,●,3607,5804,3307,1505,●,8111
野村全球品牌基金,前收累積,新臺幣,10370007,CA07,7006,5807,10110007,2402,10040007,V,●,CJ8,5550,IN20,2004,55500034,2105,1407,313,8875,V,7706,6007,D608,●,IN04,69006,6900008,7907,5007,7807,6514,3406,IG01,52AV,3608,5808,3310,1501,●,8105
野村全球品牌基金,前收累積,美元,10370084,C144,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,0B36,●,●,●,K449,●,CN32,●,●,●,●,7H21,●,DE26,OA47,●,DD11,●,●,9J40,●,CC03
野村全球品牌基金,後收累積,新臺幣,●,CB09,●,●,●,●,●,●,●,●,●,I713,53001,●,●,YG06,●,88A7,●,●,●,H207,●,EM03,●,●,●,●,6912,●,N509,●,●,4905,●,3C08,4709,●,Z503
野村全球品牌基金,後收累積,美元,●,C210,●,●,●,●,●,●,●,●,●,J716,53002,●,●,ZG07,●,0BA8,●,●,●,P206,●,EL04,●,●,●,●,6I10,●,P510,●,●,DV06,●,●,9X10,●,Y504
野村全球高股息基金,前收累積,新臺幣,10370008,CA08,7007,5809,10110009,2403,10040009,V,●,CJ9,5551,IN15,2005,55500021,2108,1408,316,8801,V,7707,6008,D609,●,IN05,69007,6900011,7909,5008,7806,6505,3407,IG08,52AU,3609,5807,3308,1510,V,8106
野村全球高股息基金,前收累積,人民幣,10370058,●,●,●,●,●,10040061,●,●,351,4119,D215,●,●,●,●,●,0B19,●,6C21,●,●,●,CN05,69037,●,●,●,●,ZB17,●,OA21,●,●,●,●,●,●,●
野村全球高股息基金,前收季配,新臺幣,10370057,CA23,7018,●,●,●,●,V,●,K25,5560,IN50,●,●,●,1418,317,8805,●,7725,6036,D619,●,IN14,69017,●,●,●,●,6526,●,IG18,●,3634,5821,3335,1528,●,●
野村全球高股息基金,前收季配,人民幣,10370059,●,●,●,●,●,●,●,●,352,4120,D216,●,●,●,●,●,0B20,●,6C22,●,●,●,CN06,69036,●,●,●,●,ZB18,●,OA22,●,●,●,●,●,●,●
野村鑫平衡組合基金,前收累積,新臺幣,10370010,CA10,7008,5811,10110011,2401,10040011,V,●,CK0,5553,IN11,2021,55500023,2109,1409,314,8803,V,7709,6010,D611,●,IN06 / IN36,69009,●,7911,5010,7809,6507,3408,IG10,●,3610,●,3311,1511,●,8110
野村全球不動產證券化基金,前收累積,新臺幣,10370016,CA13,7010,5814,10110014,2408,10040014,V,●,CK3,5555,IN21,2023,●,2112,1412,322,8888,V,7712,6013,D614,●,IN41,69011,6900007,7914,5013,7812,6510,3411,IG13,52AS,3614,5814,3314,1513,●,8107
野村全球不動產證券化基金,前收累積,人民幣,10370060,●,●,●,●,●,10040062,●,●,353,4117,D217,●,●,●,●,●,0B17,●,6C19,●,●,●,CN07,69038,●,●,●,7Z06,ZB19,●,OA19,●,●,●,●,●,●,●
野村全球不動產證券化基金,前收月配,新臺幣,10370036,CA25,7017,●,10110042,●,10040046,V,●,K27,5562,IN51,●,●,2129,1420,323,8889,●,7730,6056,●,●,●,69018,●,●,●,●,6524,●,IG20,52BM,3636,5820,3334,1530,●,●
野村全球不動產證券化基金,前收月配,人民幣,10370061,●,●,●,●,●,●,●,●,354,4118,D218,●,●,●,●,●,0B18,●,6C20,●,●,●,CN08,69039,●,●,●,7Z07,ZB20,●,OA20,●,●,●,●,●,●,●
野村亞太高股息基金,前收累積,新臺幣,10370015,CA16,7015,5817,10110017,2412,10040017,V,●,CK6,5558,IN17,2006,55500025,2115,1415,320,8819,V,7715,6016,D601,●,IN11,69013,6900005,7917,5016,7815,6513,3413,IG16,52AT,3617,5816,3317,1516,●,8112
野村亞太高股息基金  (暫停銷售),前收累積,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村亞太高股息基金,前收季配,新臺幣,10370021,CA26,7020,●,●,2417,●,V,●,K28,5563,●,●,●,●,1421,321,8821,●,7729,6038,●,●,IN16,69019,6900004,●,●,●,6523,●,IG21,●,3637,5823,3337,1531,●,●
野村亞太高股息基金  (暫停銷售),前收季配,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村台灣運籌基金,前收累積,新臺幣,10040004,CA19,4908,5212,10110021,3113,10040019,V,●,K19,5701,IN02,●,55500004,2123,1430,328,6110,V,●,6018,B701,●,IN23,69015,6900012,8919,●,7819,6520,5701,AO13,●,3619,5825,3327,1524,●,7101
野村鴻運基金,前收累積,新臺幣,●,CA33,●,●,X,3112,●,V,●,K23,5710,IN06,2032,●,●,1429,344,●,V,●,6034,B719,●,IN25,69029,X,8920,●,●,6522,5714,AO16,●,3632,5826,●,1539,●,●
野村環球基金,前收累積,新臺幣,10370043,CA34,4911,5859,10110022,3104,10040053,V,V,K20,5754,IN19,2007,55500007,2143,1446,347,6111,V,7748,6019,B702,●,IN24 / IN39,690951,●,8938,5035,7855,6528,5704,AO12,52BR,3622,5827,3328,1519,●,7106
野村環球基金,前收累積,美元,10370070,C143,7I14,5860,●,●,●,●,●,●,●,D229,●,65500038,4740,8711,383,0B34,V,6C38,8D31,●,●,CN30,●,●,●,C921,7H20,ZB34,DE24,●,52CM,DD05,N01O,5351,9J36,●,CC01
野村環球基金,前收累積,人民幣,10370066,C120,7I07,5861,●,5534,●,●,●,398,4121,D230,●,65500039,4719,●,388,0B35,●,6C39,8D32,K415,●,CN31,●,●,"9J48
(不接受申購)",C909,7Z21,ZB23,DE25,●,52CN,DE05,N01N,9201,9J37,●,CC02
野村鴻利基金,前收累積,新臺幣,10370026,KH14,4914,●,10110023,●,●,V,●,K21,5707,IN10,●,55500005,●,X,●,6112,V,●,6020,B703,●,●,690936,●,●,●,●,6527,5709,AO11,●,3621,5828,●,1525,●,7124
野村積極成長基金,前收累積,新臺幣,●,CA20,4903,●,10110024,3111,●,V,●,K22,5703,IN04,●,55500006,●,1428,329,6113,V,7717,6021,B704,●,DK42,69016,●,8921,●,●,6529,5702,AO10,●,3620,5829,●,1534,●,7103
野村貨幣市場基金,前收累積,新臺幣,10370022,KH08,49A1,5201,10110031,3102,●,V,●,K01,5771,IN35,2008,●,●,07A2,351,6109,V,7751,6027,B713,●,DK32,69026,6900021,8909,5951,7858,●,5751,AO18,●,3663,5844,3323,1538,●,7141
野村泰國基金,前收累積,新臺幣,10040006,KH03,4901,5207,10110027,3105,10040026,V,●,K06,5752,IN25,2009,55500003,2121,704,305,6136,V,7720,6024,B707,●,DK04 / DK14,69024,6900019,8903,5904,7818,5704,5707,AO03,52AE,3625,5819,3322,1523,●,7105
野村高科技基金,前收累積,新臺幣,10040013,KH06,4909,5208,10110028,3110,10040020,V,V,K09,5704,IN08,2010,55500012,●,706,301,6190,V,7721,6025,B708,6319,DK08 / DK18,69025,●,8906,5901,7101,6530,5703,AO06,52AK(暫停申購),3626,5830,3319,1535,●,7108
野村台灣高股息基金,前收累積,新臺幣,10040016,CA18,4907,5211,10110039,3103,10040022,V,●,K18,5709,IN18,2030,55500019,2122,710,309,8804,V,7724,6035,B718,●,DK11 / DK21,69028,6900013,8918,5909,7820,6521,5713,AO15,52BC,3631,5832,3332,1527,●,7102
野村台灣高股息基金,前收月配,新臺幣,●,●,●,●,●,●,●,V,●,●,●,●,●,●,●,●,●,●,V,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村台灣高股息基金,TISA,新臺幣,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
野村全球生技醫療基金,前收累積,新臺幣,10370017,CA17,7016,5818,10110018,2414,10040018,V,●,145,5559,IN26,2011,55500018,2116,1417,326,8809,V,7716,6017,D617,●,IN12,69014,6900010,7918,5017,7816,6515,3414,IG17,●,3633,5815,3318,"1517(誠泰存量)
1599(新光人壽專用)",●,8113
野村大俄羅斯基金,前收累積,新臺幣,10370024,CA28,7025,5822,X,2420,10040033,X,X,K33,5757,IN30,2012,55500027,2125,1426,331,8879,V,7733,6043,D623,●,IN18,690938,●,8924,5021,7824,6532,3417,IG27,52BF,3642,5837,X,1541,●,8116
野村中國機會基金,前收累積,新臺幣,10370027,CA35,7027,5824,10110041,2423,10040035,V,●,K35,5567,IN32,2013,55500037,2128,1431,333,8886,V,7735,6045,D625,●,IN20,69021,6900002,8923,5023,7826,6535,3419,IG29,52BI,3644,5839,●,1543,●,8118
野村中國機會基金,前收累積,美元,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
